fen|mv|mv_score|bmv|bmv_score|difs
rn1qk2r/ppp1ppbp/3p1np1/8/3PP1P1/2N2N2/PPP2PP1/R1BQKB1R b KQkq - 0 6|h3g4|479|h3g4|487|8
rn1qk2r/ppp1ppbp/3p2p1/8/3PP1n1/2N2N2/PPP1BPP1/R1BQK2R b KQkq - 1 7|f1e2|451|d1e2|471|20
rn1qk2r/ppp2pbp/3pp1p1/6B1/3PP1n1/2N2N2/PPP1BPP1/R2QK2R b KQkq - 1 8|c1g5|480|d1d3|442|-38
rn1qk2r/ppp2p1p/3ppBp1/8/3PP1n1/2N2N2/PPP1BPP1/R2QK2R b KQkq - 0 9|g5f6|476|d1d2|491|15
rn2k2r/ppp2p1p/3ppqp1/3P4/4P1n1/2N2N2/PPP1BPP1/R2QK2R b KQkq - 0 10|d4d5|433|c3b5|464|31
rn2k2r/ppp2p1p/3p1qp1/1N1Pp3/4P1n1/5N2/PPP1BPP1/R2QK2R b KQkq - 1 11|c3b5|412|d1d2|406|-6
r3k2r/ppp2p1p/n2p1qp1/3Pp3/4P1n1/2N2N2/PPP1BPP1/R2QK2R b KQkq - 3 12|b5c3|430|d1d2|428|-2
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2|e7e5|-81|e7e5|-76|5
rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3|e5d4|-38|e5d4|-48|-10
rnbqkbnr/pppp1ppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq - 0 4|d4c3|-35|d8e7|-25|10
rnbqkbnr/pppp1ppp/8/8/2B1P3/8/Pp3PPP/RNBQK1NR w KQkq - 0 5|c3b2|2|c3b2|0|-2
rnbqkb1r/pppp1ppp/7n/3Q4/2B1P3/8/Pp3PPP/RNB1K1NR w KQkq - 2 6|g8h6|142|b2c1q|2743|2601
rnb1kb1r/ppppqppp/7B/3Q4/2B1P3/8/Pp3PPP/RN2K1NR w KQkq - 1 7|d8e7|892|d8f6|926|34
rnb1kb1r/ppppq1pp/5p2/3Q2B1/2B1P3/8/Pp3PPP/RN2K1NR w KQkq - 0 8|f7f6|1680|b2a1q|1386|-294
rnb1kb1r/ppppq1pp/5p2/3Q2B1/2B1P3/8/P3NPPP/qN2K2R w Kkq - 0 9|b2a1q|2137|b2a1q|2148|11
rnb1kb1r/ppppq1pp/8/3Q2p1/2B1P3/8/P3NPPP/qN3RK1 w kq - 0 10|f6g5|2116|f6g5|2125|9
rnb1kb1r/ppppq1pp/8/3Q2p1/2B1P3/2N5/P3NPPP/5qK1 w kq - 0 11|a1f1|1524|a1b2|2158|634
