fen|mv|mv_score|bmv|bmv_score|difs
3rkb1r/pp3ppp/3p4/2pPp3/4P3/2N2P2/PPP2P1P/2KR1B1R b k - 1 11|e1c1|404|a2a4|464|60
rnbqk2r/ppp1bppp/5n2/3p2B1/3P4/2N5/PPP1QPPP/R3KBNR b KQkq - 5 6|d1e2|-121|g1f3|-37|84
rn1q1rk1/ppp1bppp/5n2/3p2B1/3P2b1/2N2N2/PPP1QPPP/2KR1B1R b - - 9 8|g1f3|-92|f2f3|-27|65
r2q1rk1/pp1nbppp/2p2n2/3p2B1/3P4/2NB3Q/PPP2PPP/2KR3R b - - 3 11|f3h3|0|g2g4|86|86
r2q1rk1/pp1nbppp/5B2/2pp4/3P4/2NB3Q/PPP2PPP/2KR3R b - - 0 12|g5f6|88|c3d5|280|192
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/6P1/PPPP1P1P/RNBQKBNR w KQkq - 1 3|g8f6|-56|d7d5|-5|51
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2P2PP1/PP1P3P/RNBQKBNR w KQkq - 1 5|f8c5|97|d7d5|190|93
r1bqk2r/pppp1ppp/2n2n2/4p3/1P2P3/2P2PP1/P2P3P/RNBQKBbR w KQkq - 0 6|c5g1|59|c5b6|144|85
r1bqk2r/ppp2ppp/2np1n2/4p3/1P2P3/2P2PP1/P2P3P/RNBQKBR1 w Qkq - 0 7|d7d6|7|d7d5|71|64
rn1qkb1r/pp3p1p/2p1pnp1/3p1b2/2PP4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 0 7|g7g6|-70|f5d3|-12|58
r2qkb1r/pp1n1p1p/2p1p3/2PpPp2/8/2N1P3/PP3PPP/R1BQK2R w KQkq - 1 11|f6d7|205|f6g4|258|53
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-48|g1f3|48|96
r1bqkb1r/p1pp1ppp/1pn2n2/8/4P3/2N1Q3/PPPB1PPP/R3KBNR b KQkq - 1 6|c1d2|18|e4e5|148|130
r1bqk2r/p1pp1ppp/1pn2n2/2b5/4P3/2N3Q1/PPPB1PPP/R3KBNR b KQkq - 3 7|e3g3|23|e3g3|75|52
r1bq1rk1/p1pp1ppp/1pn2n2/2b5/4PP2/2N3Q1/PPPB2PP/R3KBNR b KQ - 0 8|f2f4|-187|e1c1|84|271
r1b2rk1/p1ppqppp/1p6/2b1P2n/3n1PQ1/2N5/PPPB2PP/2KR1BNR b - - 2 11|g3g4|51|g3h3|284|233
r1b2rk1/p1ppqp1p/1p4p1/2b1P2n/2Bn1PQ1/2N5/PPPB2PP/2KR2NR b - - 1 12|f1c4|-205|c3d5|72|277
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3|f1c4|-17|f1b5|34|51
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|-63|e1g1|-3|60
r1bqkb1r/pp3pp1/2nppn1p/2p5/2B1P3/1PNP1N2/P1P2PPP/R1BQ1RK1 b kq - 0 7|b2b3|-70|d3d4|-22|48
r1bqkb1r/pp3pp1/2n1pn1p/2pP4/2B5/1PNP1N2/P1P2PPP/R1BQ1RK1 b kq - 0 8|e4d5|-64|c4b5|18|82
r1bqk2r/p3bpp1/2p2n1p/2pp4/8/1PNP1N2/PBP2PPP/R2Q1RK1 b kq - 1 11|c1b2|-38|c1a3|30|68
rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2|e7e5|-75|d7d5|-19|56
r1bqk2r/ppp1bppp/3p4/3Pp1B1/3n4/3P1N2/PPP2PPP/R2QKB1R w KQkq - 1 8|c6d4|42|e7g5|131|89
r1b1k2r/ppp1qppp/3p4/3Pp3/3n4/3P1N2/PPP2PPP/R2QKB1R w KQkq - 0 9|d8e7|-18|d4f3|23|41
r1b2rk1/ppp2ppp/3p4/3Pp1q1/8/2PP1Q2/PP3PPP/2KR1B1R w - - 3 12|e7g5|1|f7f5|51|50
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/5Q1P/PPPP1PP1/RNB1K1NR w KQkq - 1 5|b8c6|-3|c7c6|48|51
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2P2Q1P/PP1P1PP1/RNB1K1NR w KQkq - 0 6|d7d6|-19|e8g8|69|88
r1bqk2r/p1p2ppp/1pnp1n2/2b1p3/4P3/2P2Q1P/PP1PBPP1/RNB1K1NR w KQkq - 0 7|b7b6|-112|d6d5|63|175
r2qk2r/pbp2ppp/1pnp4/2bnp3/4P3/2PP2QP/PP2BPP1/RNB1K1NR w KQkq - 3 9|f6d5|-736|a7a5|0|736
r2qk2r/pbp2ppp/1p1p4/2bPpn2/1P6/2PP2QP/P3BPP1/RNB1K1NR w KQkq - 1 11|e7f5|-801|c5f2|-719|82
r2qk2r/pbp2ppp/1p1p3n/2bPp3/1P4Q1/2PP3P/P3BPP1/RNB1K1NR w KQkq - 3 12|f5h6|-1306|c5b4|-818|488
rnbqk1nr/pp3ppp/8/2bN4/8/8/PPP2PPP/R1BQKBNR b KQkq - 0 6|c3d5|15|f1b5|90|75
rn1qk1nr/pp3ppp/4b3/1BbN4/8/8/PPP2PPP/R1BQK1NR b KQkq - 2 7|f1b5|5|c1e3|71|66
r2qk1nr/pp3ppp/2B1b3/2bN4/8/8/PPP2PPP/R1BQK1NR b KQkq - 0 8|b5c6|-23|d5c3|45|68
r2qk1nr/p4ppp/2p1bN2/2b5/8/8/PPP2PPP/R1BQK1NR b KQkq - 1 9|d5f6|-567|d5c3|5|572
r3k1nr/p4ppp/2p1bq2/2b5/8/5N2/PPP2PPP/R1BQK2R b KQkq - 1 10|g1f3|-679|d1e2|-514|165
r3kb1r/pppqpppp/2n2n2/3p1b2/3P4/2NBPP2/PPP3PP/R1BQK1NR w KQkq - 3 6|d8d7|-11|f5g6|32|43
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4|c2c3|-42|d2d4|8|50
r1b1kb1r/pp2pppp/2np1n2/q7/2BPP3/5N2/PP1N1PPP/R1BQK2R b KQkq - 2 7|b1d2|2|c1d2|116|114
r1b1kb1r/pp2pppp/2np4/q7/2BPn3/5N2/PP1N1PPP/R1BQ1RK1 b kq - 1 8|e1g1|-39|d4d5|23|62
